column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,BRAEDALE GOLDWYN,MADAWASKA AEROSTAR,TO-MAR BLACKSTAR ET,EMPRISE BELL ELTON,MAUGHLIN STORM,A RONNYBROOK PRELUDE ET,ELITE GOLD BULLION-IMP-ET,ENSENADA TABOO PLANET ET,ELITE MOUNTAIN DONOR IMP (E_T),SINGING-BROOK N-B MASCOT ET,SHOREMAR JAMES,HILL VALLEY BASAR ACME,MARA-THON BW MARSHALL,JOCKO BESN,LONG-LANGS OMAN OMAN,BIS-MAY S-E-L MOUNTAIN ET,ROUMARE,OSDEL-ENDEAVOR BOVA CUBBY,AG-HIGH SIGHTS BS INGOT-ET,ROSE-BAUM TABOO,KED JUROR ET,BIS-MAY TRADITION CLEITUS,HANOVERHILL STARBUCK,GIBBON,CARENDA FABULON-ET,ETAZON KNOCK OUT,Q250 BESNE BUCK,BASAR,MAIZEFIELD BELLWOOD - (E_T_),A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,SOUTHWIND BELL OF BAR-LEE,BUSHLEA WAVES FABULON,DELLKA JUROR GORDON - TW,LEKKER VALIANT ROYALTY,ETAZON ADDISON,OUT-JOCK CHOICE AMEL,SHOREMAR PERFECT STAR (ET),HOW-EL-ACRES K BELLMAN ET,FATAL,WALKWAY CHIEF MARK,NORRIELAKE CLEITUS LUKE TWIN,END-ROAD BLACKSTAR MAJIC-ET,ETAZON CELSIUS,BELT,CARLIN-M IVANHOE BELL
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,1,1,0,0.250115831,0,0,0.091116371,0.115755213,0,0,0.062758923,0,0,0.382612326,0.066013016,0,0,0,0,0,0.134353477,0,0,0,0,0,0,0.025568225,0,0,0,0,0,0,0,0,0,0,0,0.02324435,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,2,0.977684796,0.287308195,0.24453703,0.075312684,0.128312424,0.089721641,0,0.061828112,0,0.061364193,0,0,0,0,0.04695476,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,3,0.977684796,0.287308195,0.24453703,0.075312684,0,0.089721641,0,0.061828112,0,0.061364193,0,0,0,0,0,0,0,0,0.059507211,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0,0,0,0,0.006508423,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,4,0.977684796,0.287308195,0.24453703,0.075312684,0,0.089721641,0,0.061828112,0,0.061364193,0,0,0,0,0,0,0,0,0.059507211,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0,0,0,0,0.006508423,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,5,0.977684796,0.287308195,0.24453703,0.075312684,0,0.089721641,0,0.061828112,0,0.061364193,0,0,0,0,0,0,0,0,0.059507211,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0,0,0,0,0.006508423,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,6,0.972105995,0.281729394,0.2431423,0.073917954,0,0,0,0,0,0,0,0.05206881,0,0,0,0,0,0,0.037192007,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0.011157364,0,0,0,0,0,0.003718963,0,0,0,0,0,0.002324352,0,0,0
COGENT TWIST - COGENTTWIST,7,1,0,0.250115831,0,0,0.091116371,0.115755213,0,0,0.062758923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025568225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030217286,0,0,0,0,0.018595765,0,0
HILL VALLEY NIELS - NIELS,8,0.977684796,0,0.24453703,0,0,0.089721641,0.115755213,0,0,0.061364193,0,0.074384014,0,0,0,0,0,0,0,0,0,0,0,0.018595765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0,0,0.003719082,0,0,0
RENGAW JARDIN JANEK - JANEK,9,0.977684796,0,0.24453703,0,0,0.089721641,0,0,0,0.061364193,0,0,0,0,0,0,0,0.086005534,0,0,0,0,0,0,0,0.052996527,0.025103355,0,0,0,0.022779003,0,0,0,0,0.013481359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
