column,Row Order,PICSTON SHOTTLE,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,O-BEE MANFRED JUSTICE,EMPRISE BELL ELTON,SHOREMAR JAMES,HA-HO CUBBY MANFRED-ET,SANDY-VALLEY BOLTON,MAUGHLIN STORM,A RONNYBROOK PRELUDE ET,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,Q250 BESNE BUCK,DIXIE-LEE AARON -ET,MARA-THON BW MARSHALL,STARTMORE RUDOLPH,LONG-LANGS OMAN OMAN,END-ROAD PVF BOLIVER,OUT-JOCK CHOICE AMEL,WALKWAY CHIEF MARK,OSDEL-ENDEAVOR BOVA CUBBY,END-ROAD BEACON,BASAR,GIBBON,EMERALD-ACRES-SA TONIC ET,JARDIN,RICH-RO MARK SAM -ET,FATAL,BADGER-BLUFF FANNY FREDDIE,BRAEDALE GOLDWYN,BUNDALONG MARKS MEDALLION,CARENDA FABULON-ET,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,ENSENADA TABOO PLANET ET,ETAZON KNOCK OUT,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,HILL VALLEY BASAR ACME,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,MR CHASSITY GOLD CHIP,RAMOS,REGANCREST ALTAIOTA,ROSE-BAUM TABOO,ROUMARE,UFM-DUBS ALTAESQUIRE
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,1,0,1,0,0.04245283,0.58490566,0.103773585,0.089622642,0,0.183962264,0,0,0.108490566,0,0,0,0,0,0,0,0.080188679,0.028301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,2,0.5,0.5,0.311320755,0,0,0.103773585,0,0,0,0.297169811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,3,0.25,0.5,0.311320755,0,0,0.103773585,0,0,0,0.297169811,0.113207547,0,0.08490566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009433962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,4,0.25,0,0,0.04245283,0.58490566,0,0.089622642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028301887,0.009433962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,5,0.25,0,0.311320755,0.04245283,0,0,0.089622642,0,0,0,0,0,0,0,0.169811321,0,0,0,0.023584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,6,0.25,0,0.311320755,0.04245283,0,0,0,0,0,0,0,0,0,0,0.169811321,0,0.014150943,0,0,0,0,0.009433962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,7,0.25,0,0.311320755,0.04245283,0,0,0.089622642,0,0,0,0,0,0,0.056603774,0,0,0.014150943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,8,0,0,0,0.04245283,0,0.103773585,0.089622642,0,0.183962264,0,0,0.108490566,0,0.056603774,0,0,0.014150943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,9,0.5,0,0,0.08490566,0,0,0,0,0,0,0,0,0,0,0,0,0.014150943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,10,0.25,0,0.311320755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,11,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014150943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,12,0.25,0,0,0.04245283,0,0.103773585,0.089622642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,13,0.25,0,0,0.04245283,0,0,0.089622642,0,0,0,0,0,0,0.056603774,0,0,0.014150943,0.023584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,14,0,0,0,0.04245283,0,0.103773585,0,0,0.183962264,0,0,0.108490566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
