column,Row Order,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,SINGING-BROOK N-B MASCOT ET,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,NORRIELAKE CLEITUS LUKE TWIN,SHOREMAR JAMES,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,HANOVERHILL STARBUCK,OSDEL-ENDEAVOR BOVA CUBBY,DIXIE-LEE AARON -ET,MARA-THON BW MARSHALL,Q250 BESNE BUCK,ROTHROCK TRADITION LEADMAN,BRABANT STAR PATRON,MAIZEFIELD BELLWOOD - (E_T_),KED JUROR ET,OUT-JOCK CHOICE AMEL,SHEN-VAL NV LM FORMATION-ET,BIS-MAY TRADITION CLEITUS,CARLIN-M IVANHOE BELL,BIS-MAY S-E-L MOUNTAIN ET,LONG-LANGS OMAN OMAN,DELLKA JUROR GORDON - TW,GIBBON,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,AG-HIGH SIGHTS BS INGOT-ET,ELITE GOLD BULLION-IMP-ET,BURLANE TENNYSON,EXRANCO THOR,EMERALD-ACRES-SA TONIC ET,HANOVER HILL INSPIRATION,HOW-EL-ACRES K BELLMAN ET,LYLEHAVEN AMBITION ET,JENNY-LOU MRSHL TOYSTORY,JARDIN,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
VH MOGENS - VIKVHMOGENS,1,0.5,0.427419355,0.254032258,0.266129032,0,0.076612903,0,0.036290323,0,0,0,0,0,0.068548387,0.024193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,2,0.5,0,0.254032258,0.266129032,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0.024193548,0,0,0,0,0,0,0.306451613,0,0,0,0,0,0,0.080645161,0,0,0,0,0,0.040322581,0.040322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,3,0.5,0.427419355,0.254032258,0.266129032,0.213709677,0.076612903,0,0.036290323,0,0.108870968,0,0,0,0,0.024193548,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,4,0.5,0.427419355,0.254032258,0.266129032,0.213709677,0.076612903,0,0.036290323,0,0.108870968,0,0,0,0,0.024193548,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,5,0.5,0.427419355,0.254032258,0.266129032,0.213709677,0.076612903,0,0.036290323,0,0.108870968,0,0,0,0,0.024193548,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,6,0.5,0.427419355,0.254032258,0.266129032,0.213709677,0.076612903,0,0.036290323,0,0,0.088709677,0,0,0,0.024193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,7,0.5,0.427419355,0.254032258,0.266129032,0.213709677,0.076612903,0,0.036290323,0,0,0.088709677,0,0,0,0.024193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,8,0,0.85483871,0.254032258,0.266129032,0.213709677,0.076612903,0,0.036290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,9,0,0.427419355,0.254032258,0.266129032,0,0,0,0,0,0,0,0,0,0.068548387,0,0,0,0,0.108870968,0,0,0,0,0.137096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,10,0,0.427419355,0.254032258,0.266129032,0.213709677,0,0,0,0,0,0,0,0,0.137096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,11,0,0.427419355,0.254032258,0.532258065,0.427419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,12,0,0.85483871,0,0,0,0,0.185483871,0,0.157258065,0,0.088709677,0,0.092741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141129032,0,0,0,0.060483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,13,0,0.427419355,0.254032258,0.266129032,0.213709677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,14,0,0.427419355,0.254032258,0.266129032,0.213709677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,15,0,0.427419355,0.254032258,0.266129032,0.213709677,0,0,0,0,0,0,0.096774194,0,0.068548387,0,0,0,0.072580645,0,0,0,0,0,0,0.088709677,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,16,1,0,0,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0.024193548,0,0.14516129,0,0,0,0.112903226,0,0,0,0,0.080645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,17,0,0.85483871,0,0,0,0,0.185483871,0,0.157258065,0,0.088709677,0,0.092741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,18,0.5,0.427419355,0,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0.068548387,0.024193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0
