column,Row Order,PICSTON SHOTTLE,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,O-BEE MANFRED JUSTICE,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,DIXIE-LEE AARON -ET,HA-HO CUBBY MANFRED-ET,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,MAUGHLIN STORM,JOCKO BESN,NORRIELAKE CLEITUS LUKE TWIN,SINGING-BROOK N-B MASCOT ET,MARA-THON BW MARSHALL,ELITE GOLD BULLION-IMP-ET,BURLANE TENNYSON,OUT-JOCK CHOICE AMEL,DELLKA JUROR GORDON - TW,OSDEL-ENDEAVOR BOVA CUBBY,KED JUROR ET,SHEN-VAL NV LM FORMATION-ET,A MARK CJ GILBROOK GRAND ET,BRABANT STAR PATRON,Q250 BESNE BUCK,JARDIN,HANOVERHILL STARBUCK,ROTHROCK TRADITION LEADMAN,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),BIS-MAY S-E-L MOUNTAIN ET,JENNY-LOU MRSHL TOYSTORY,GIBBON,CARLIN-M IVANHOE BELL,BIS-MAY TRADITION CLEITUS,LYLEHAVEN AMBITION ET,MJR BLACKSTAR EMORY-ET,EMERALD-ACRES-SA TONIC ET,HOW-EL-ACRES K BELLMAN ET,LEKKER VALIANT ROYALTY,EXRANCO THOR,HANOVER HILL INSPIRATION,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
RENGAW MANOMAN WRANGLER-ET - WRANGLER,1,0.942857143,0.276189562,0.202372571,0.119047619,0.141658819,0.0761856,0.151190248,0.045237029,0.133333333,0,0,0,0.083332267,0,0,0,0,0,0,0.011904305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,2,0.942857143,0.276189562,0.202372571,0.119047619,0.141658819,0.0761856,0.151190248,0.045237029,0.133333333,0,0,0,0.083332267,0,0,0,0,0,0,0.011904305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,3,0.942857143,0.276189562,0.202372571,0.119047619,0.141658819,0.0761856,0.151190248,0.045237029,0.133333333,0,0,0,0.083332267,0,0,0,0,0,0,0.011904305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,4,0.942857143,0.276189562,0.202372571,0.119047619,0.141658819,0.0761856,0,0.045237029,0,0.105952305,0,0,0,0,0,0,0,0,0,0.011904305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,5,0.942857143,0.276189562,0.202372571,0.119047619,0.141658819,0.0761856,0,0.045237029,0,0.105952305,0,0,0,0,0,0,0,0,0,0.011904305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,6,0.942857143,0.276189562,0,0,0.141658819,0.0761856,0,0,0,0,0,0.126190019,0,0,0,0,0,0,0,0,0,0,0,0,0.02976061,0.152380952,0.0214272,0,0,0,0,0,0,0,0.030950705,0,0,0.009523505,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,7,0,0.276189562,0.202372571,0.119047619,0,0.0761856,0,0.045237029,0,0,0,0,0,0,0,0,0.423809524,0,0.31071421,0.011904305,0.241663695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016665905,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,8,0.928571429,0.272618057,0,0,0,0,0,0,0,0,0,0,0,0,0.147618438,0,0,0.021428419,0,0,0,0,0,0.179755886,0,0,0,0,0,0.0345216,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,9,1,0.290475276,0,0,0.145230324,0.079757105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226176,0,0,0,0,0,0,0,0,0,0,0,0.009523505,0,0,0,0,0,0,0,0,0,0,0
